
------------------------2020-04-02 16:58:34：工厂开始运行----------------------------
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0014.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0021.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0023.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0024.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0023.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0024.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0025.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0025.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0027.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0026.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0022.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0028.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0029.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0027.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0028.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0030.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0029.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0031.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0031.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0033.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0030.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0032.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0032.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0033.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0034.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0026.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0034.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0035.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0036.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0035.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0036.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0037.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0038.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0038.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\二七梦3月快手弹唱短视频合集\/0039.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0039.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0040.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0041.ts
2020-04-02 17:12:29:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0042.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0043.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0044.ts
2020-04-02 17:12:30:[WARING]文件已存在！F:\study_project\webpack\scrapy\acfun_video\周杰伦开不了口\/0045.ts
